x_1,t_eng_1,t_fil_1,x_2,t_eng_2,t_fil_2,label,bisim,editex,editex_separate_substitutions,editex_separate_insertions,editex_separate_deletions,lcsubstring,lcsuf,levenshtein,levenshtein_consonant,levenshtein_separate_substitutions,levenshtein_separate_insertions,levenshtein_separate_deletions,prefix,visual_weighted,visual_weighted_separate_substitutions,visual_weighted_separate_insertions,visual_weighted_separate_deletions,aline_eng_kondrak_eng,aline_eng_kondrak_fil,aline_ph_mc_eng,aline_ph_mc_fil,len_diff,common_prefix_len,common_suffix_len,consonant_count_diff,syllable_diff,syllable_count_diff,vowel_count_diff,fil_vowel_skeleton_match,fil_penult_vowel_match,fil_onset_match,fil_coda_match,fil_phonetic_equal,n_marked,english_prominence_match
fioricet w codeine,fɪoːɹɪsɪt dʌbəljuː koʊdaɪn,fioɾajsetwkodejne,prometh vc w codeine,pɹoʊmiːθ viːsiː dʌbəljuː koʊdaɪn,pɾometvkwkodejne,0,0.5,0.7936508,7,1,0,0.5,0.5,0.55,0.57142854,7,2,0,0.0,0.75757575,7,1,0,0.75827813,0.6838095,0.7410596,0.61714286,2,0,10,3,1,2,2,0,1,0,1,0,2,1
paroxetine,pæɹəksɛtiːn,paɾoksetine,proketazine,pɹoʊktɐziːn,pɾoketasʔineʔ,0,0.45454547,0.8095238,1,2,1,0.27272728,0.27272728,0.6363636,0.6666666,1,2,1,0.09090909,0.8333333,1,2,1,0.83225805,0.654321,0.64193547,0.5802469,1,1,3,1,0,0,0,0,1,1,1,0,0,1
renvela,ɹɛnvɛlə,ɾenvela,renova,ɹɛnoʊvə,ɾenova,0,0.42857143,0.8076923,2,0,1,0.42857143,0.14285715,0.57142854,0.75,2,0,1,0.42857143,0.7692308,2,0,1,0.67674416,0.6744186,0.67674416,0.6488372,1,3,1,1,0,0,0,1,1,1,1,0,2,1
kadian,keɪdiən,kadiʔan,zykadia,zaɪkeɪdiə,zjkadia,0,0.5714286,0.75,0,2,1,0.71428573,0.0,0.57142854,0.25,0,2,1,0.0,0.7692308,0,2,1,0.6666667,0.627907,0.6666667,0.627907,1,0,0,1,0,1,0,0,1,0,0,0,0,1
alfentanil,ɐlfɛntɐnɪl,ʔalfentanil,gantanol,gæntɐnɑːl,gantanol,0,0.3,0.7777778,3,0,2,0.4,0.1,0.5,0.6666666,3,0,2,0.0,0.71428573,3,0,2,0.716129,0.6362319,0.63548386,0.5463768,2,0,1,1,1,1,1,0,1,0,1,0,0,1
norlestrin 21 25 50,noːɹlɪstɹɪn twɛnti wʌn twɛnti faɪv fɪfti,noɾlestɾin212550,norlestrin 28 1 50,noːɹlɪstɹɪn twɛnti eɪt wʌn fɪfti,noɾlestɾin28150,0,0.7894737,1.0,0,0,0,0.6315789,0.15789473,0.84210527,0.8125,2,0,1,0.6315789,1.0,0,0,0,0.7378505,1.0,0.7196262,1.0,1,12,3,0,0,0,0,1,1,1,1,1,0,1
ketamine,kɛɾɐmiːn,ketamine,ketorolac,kɛɾoːɹɑːlæk,ketoɾolak,1,0.33333334,0.7352941,5,1,0,0.33333334,0.0,0.3333333,0.39999998,5,1,0,0.33333334,0.6764706,5,1,0,0.4690909,0.50363636,0.36,0.3909091,1,3,0,1,0,1,0,0,0,1,0,0,0,1
disopyramide,dɪsɑːpɪɹæmaɪd,disopjɾamide,pyrazinamide,pɪɹeɪzɪnɐmaɪd,pjɾasinamide,0,0.5833333,0.7708333,7,0,0,0.41666666,0.41666666,0.4166667,0.4285714,7,0,0,0.0,0.7083334,7,0,0,0.72337663,0.6148649,0.5974026,0.5675676,0,0,5,0,0,0,0,0,1,0,1,0,0,1
hydralazine,haɪdɹɐlæziːn,hjdɾalasʔineʔ,hydromorphone,haɪdɹəmoːɹfoʊn,hjdɾomoɾphone,1,0.3846154,0.7777778,5,2,0,0.30769232,0.15384616,0.46153843,0.5555556,5,2,0,0.30769232,0.7083334,5,2,0,0.6746836,0.6915663,0.6240506,0.613253,2,4,2,2,0,0,0,0,0,1,1,0,0,1
nexavar,nɛksɐvɑːɹ,neksavaɾ,nexium,niːksiəm,neksjum,1,0.42857143,0.76,3,0,1,0.42857143,0.0,0.4285714,0.5,3,0,1,0.42857143,0.6923077,3,0,1,0.678,0.614,0.542,0.538,1,3,0,1,1,0,0,0,0,1,0,0,0,1
mitomycin,maɪɾəmaɪsɪn,mitomjsjn,netromycin,nɛtɹəmaɪsɪn,netɾomjsjn,0,0.5,0.8947368,2,1,0,0.6,0.6,0.7,0.71428573,2,1,0,0.0,0.8684211,2,1,0,0.8686567,0.8454546,0.8149254,0.8363636,1,0,6,1,0,0,0,0,1,0,1,0,0,1
sulfadiazine,sʌlfeɪdɪɐziːn,sulfadiasʔineʔ,sulfisoxazole,sʌlfɪsɑːksɐzoʊl,sulfisoksasole,1,0.3846154,0.8163265,5,1,0,0.30769232,0.07692308,0.53846157,0.57142854,5,1,0,0.30769232,0.76,5,1,0,0.65581393,0.62906975,0.55930233,0.522093,1,4,1,1,1,0,0,0,1,1,0,0,0,1
ponatinib,pɑːnɐtɪnɪb,ponatinib,phenytoin,fɛnɪtɔɪn,phenjtojn,0,0.22222222,0.7647059,4,1,1,0.22222222,0.0,0.3333333,0.5,4,1,1,0.11111111,0.6666666,4,1,1,0.7618182,0.48135594,0.58,0.4644068,0,1,0,1,2,1,1,0,1,0,0,0,0,1
aminocaproic acid in plastic container,ɐmɪnəkɐpɹoʊɪk æsɪd ɪn plæstɪk kənteɪnɚ,ʔaminokapɾojsʔasidʔinplastikkontaʔineɾ,mannitol 5 in plastic container,mænɪtɑːl faɪv ɪn plæstɪk kənteɪnɚ,mannitol5ʔinplastikkontaʔineɾ,0,0.5263158,0.7982456,5,0,8,0.55263156,0.55263156,0.65789473,0.73913044,6,0,7,0.0,0.7881356,5,0,8,0.7330097,0.62436974,0.69320387,0.60084033,7,0,21,3,4,4,5,0,1,0,1,0,0,1
lantus,læntəs,lantus,lente,lɛnt,lente,1,0.33333334,0.8181818,2,0,1,0.33333334,0.0,0.5,0.75,2,0,1,0.16666667,0.72727275,2,0,1,0.68421054,0.79473686,0.68421054,0.6315789,1,1,0,1,0,1,0,0,0,1,0,0,0,1
phentermine resin 30,fɛntɚmɪn ɹɛzɪn θɜːɾi,phenteɾmineɾesin30,phentermine resin complex,fɛntɚmɪn ɹɛzɪn kɑːmplɛks,phenteɾmineɾesinkompleks,0,0.72,0.81578946,0,7,0,0.72,0.0,0.72,0.7058823,2,5,0,0.72,0.82051283,0,7,0,0.70977443,0.65789473,0.66466165,0.65789473,5,18,0,5,2,2,2,0,1,1,0,0,1,1
cefotetan,sɛfoʊttən,kefotetan,fortesta,fɔːɹɾɛstə,foɾtesta,0,0.33333334,0.7058823,0,2,3,0.22222222,0.0,0.44444442,0.19999999,0,2,3,0.0,0.7058823,0,2,3,0.6272727,0.6272727,0.62,0.62,1,0,0,0,1,1,1,0,1,0,0,0,0,1
cozaar,kəzɑːɹ,kosaʔaɾ,zocor,zɑːkɚ,zokoɾ,1,0.16666667,0.8095238,3,0,1,0.33333334,0.16666667,0.3333333,0.3333333,3,0,1,0.0,0.6363636,3,0,1,0.4064516,0.5674419,0.38709676,0.37209302,1,0,1,0,0,0,1,0,1,0,1,0,1,0
mephyton,mɛfɪtən,mephjton,aquamephyton,ækweɪmfɪtən,ʔakamephjton,0,0.5833333,0.8108108,0,4,0,0.6666667,0.6666667,0.6666666,0.85714287,0,4,0,0.0,0.8,0,4,0,0.53731346,0.68421054,0.53731346,0.68421054,4,0,8,1,2,2,3,0,1,0,1,0,0,1
dextrose 5 sodium chloride 02 and potassium chloride 0224 in plastic container,dɛkstɹoʊz faɪv soʊdiəm kloːɹaɪd ziəɹoʊ tuː ænd pətæsiəm kloːɹaɪd ziəɹoʊtuːtuːfoːɹ ɪn plæstɪk kənteɪnɚ,dekstɾose5sodjumʧloɾide02ʔandpotasumʧloɾide0224ʔinplastikkontaʔineɾ,potassium chloride 015 in dextrose 5 and sodium chloride 011 in plastic container,pətæsiəm kloːɹaɪd ziəɹoʊ fɪftiːn ɪn dɛkstɹoʊz faɪv ænd soʊdiəm kloːɹaɪd ziəɹoʊ ɪlɛvən ɪn plæstɪk kənteɪnɚ,potasumʧloɾide015ʔindekstɾose5ʔandsodjumʧloɾide011ʔinplastikkontaʔineɾ,0,0.61728394,0.85589516,7,7,5,0.25925925,0.25925925,0.60493827,0.58928573,11,12,9,0.0,0.8442623,7,7,5,0.7131086,0.7572152,0.66348314,0.7481013,3,0,21,1,1,1,1,0,1,0,1,0,0,1
prograf,pɹoʊgɹæf,pɾogɾaf,proscar,pɹəskɑːɹ,pɾoskaɾ,1,0.42857143,0.7777778,3,0,0,0.42857143,0.0,0.57142854,0.39999998,3,0,0,0.42857143,0.78571427,3,0,0,0.592,0.6711111,0.456,0.6711111,0,3,0,0,0,0,0,1,1,1,0,0,0,0
levbid,lɛvbɪd,levbid,levo t,liːvoʊ tiː,levoʔt,0,0.5,0.8181818,2,0,1,0.5,0.0,0.5,0.5,3,0,0,0.5,0.72727275,2,0,1,0.7487805,0.71842104,0.72439027,0.69210523,0,3,0,1,0,0,0,0,1,1,0,0,0,0
bactrim ds,bæktɹɪm diːɛs,baktɾimds,bactroban,bæktɹɑːbən,baktɾoban,0,0.5,0.8055556,4,0,0,0.5,0.0,0.5,0.5,4,0,1,0.5,0.7777778,4,0,0,0.70434785,0.6983051,0.5753623,0.6847458,1,5,0,1,1,1,1,0,0,1,0,0,0,1
cefazolin,sɛfɐzɑːlɪn,kʔefasolin,ethamolin,ɛθɐmɑːlɪn,ʔethamolin,0,0.33333334,0.7714286,4,0,0,0.44444445,0.44444445,0.5555556,0.39999998,4,0,0,0.0,0.7941176,2,1,1,0.74363637,0.6935484,0.74363637,0.7,0,0,4,0,0,0,0,1,1,0,1,0,0,1
viokase,vaɪəkeɪs,viokase,viokase 8,vaɪəkeɪs eɪt,viokase8,1,0.7777778,1.0,0,0,0,0.7777778,0.0,0.7777778,0.6,0,2,0,0.7777778,1.0,0,0,0,0.7349206,1.0,0.73015875,1.0,2,7,0,0,0,0,0,1,1,1,1,1,0,1
testoderm,tɛstoʊdɜːm,testodeɾm,testoderm with adhesive,tɛstoʊdɜːm wɪð ɐdhiːsɪv,testodeɾmwitʔadhesive,1,0.39130434,0.6315789,0,12,0,0.39130434,0.0,0.39130437,0.39999998,0,14,0,0.39130434,0.6,0,12,0,0.47008547,0.4351145,0.47008547,0.4351145,14,9,0,7,5,4,5,0,0,1,0,0,1,0
roxanol,ɹɑːksɐnɑːl,ɾoksanol,roxicodone intensol,ɹɑːksɪkɑːdoʊn ɪntɛnsɑːl,ɾoksjsodoneʔintensol,1,0.21052632,0.5510204,1,11,0,0.15789473,0.10526316,0.31578946,0.36363637,1,12,0,0.15789473,0.52,1,11,0,0.31538463,0.27539682,0.26581198,0.23730159,12,3,2,6,5,5,5,0,1,1,1,0,0,0
lexiva,lɛksɪvə,leksiva,pexeva,pɛksɛvə,pekseva,1,0.33333334,0.875,2,0,0,0.33333334,0.33333334,0.6666666,0.6666666,2,0,0,0.0,0.8333333,2,0,0,0.83488375,0.8372093,0.83488375,0.81395346,0,0,2,0,0,0,0,1,1,0,1,0,0,1
steglatro,stɛglætɹoʊ,steglatɾo,statrol,stætɹɑːl,statɾol,0,0.5555556,0.75,0,1,3,0.44444445,0.0,0.5555556,0.5,0,1,3,0.22222222,0.75,0,1,3,0.57419354,0.6,0.4870968,0.5614035,2,2,0,1,1,1,1,0,1,1,0,0,0,1
doribax,doːɹɪbæks,doɾibaks,doryx,doːɹɪks,doɾjks,0,0.42857143,0.7916667,1,0,2,0.42857143,0.14285715,0.57142854,0.75,1,0,2,0.42857143,0.75,1,0,2,0.68,0.592,0.68,0.592,2,3,1,0,2,1,2,0,1,1,1,0,1,0
dynacin,daɪnɐsɪn,djnasjn,dynacirc,daɪnɐsɜːk,djnasjɾs,1,0.75,0.8666667,1,1,0,0.75,0.0,0.75,0.6666666,1,1,0,0.75,0.8666667,1,1,0,0.8520833,0.75555557,0.8520833,0.74814814,1,6,0,1,0,0,0,1,1,1,0,0,0,1
micronase,maɪkɹoʊneɪs,mikɾonase,micronor,maɪkɹoʊnoːɹ,mikɾonoɾ,0,0.6666667,0.85294116,2,0,1,0.6666667,0.0,0.6666666,0.8,2,0,1,0.6666667,0.8235294,2,0,1,0.8769231,0.84,0.8769231,0.75272727,1,6,0,0,1,0,1,0,1,1,0,0,0,1
remeron,ɹɪmɜːɹən,ɾemeɾon,rozerem,ɹoʊzɹəm,ɾozeɾem,1,0.42857143,0.82142854,4,0,0,0.42857143,0.0,0.4285714,0.5,4,0,0,0.14285715,0.75,4,0,0,0.7209302,0.7790698,0.73023254,0.7883721,0,1,0,0,0,0,0,0,0,1,0,0,2,1
ranitidine,ɹænɪtɪdiːn,ɾanitidine,rimantadine,ɹɪmɐntædiːn,ɾimantadine,1,0.45454547,0.85714287,4,1,0,0.36363637,0.36363637,0.6363636,0.8333333,1,2,1,0.09090909,0.8095238,1,2,1,0.83064514,0.8477612,0.7564516,0.6686567,1,1,4,1,0,0,0,0,0,1,1,0,0,1
rifampin,ɹɪfɐmpɪn,ɾifampin,rifaximin,ɹɪfɐksɪmɪn,ɾifaksimin,1,0.5555556,0.8235294,2,1,0,0.44444445,0.22222222,0.6666666,0.6,2,1,0,0.44444445,0.8235294,2,1,0,0.61129034,0.61129034,0.61774194,0.61774194,1,4,2,0,1,1,1,0,0,1,1,0,0,1
amphotericin b,æmfoʊtɹɪsɪn biː,ʔamphoteɾajsjnb,amphotericin b liposomal,æmfoʊtɹɪsɪn biː lɪpəsɑːməl,ʔamphoteɾajsjnbliposomal,1,0.5833333,0.7352941,0,9,0,0.5833333,0.0,0.5833334,0.6,0,10,0,0.5833333,0.7536232,0,9,0,0.5895522,0.6381579,0.5895522,0.6381579,10,14,0,5,4,4,4,0,0,1,0,0,0,1
neulasta,nuːlæstə,neulasta,neumega,nuːmɛgə,neumega,1,0.375,0.75,3,0,1,0.375,0.125,0.5,0.25,3,0,1,0.375,0.73333335,3,0,1,0.4651163,0.5208333,0.45581394,0.40416667,1,3,1,1,0,0,0,0,0,1,1,0,0,1
isotretinoin,aɪsətɹɛtɪnɔɪn,ʔisotɾetinojn,tretinoin,tɹɛtɪnɔɪn,tɾetinojn,1,0.6666667,0.85,0,0,3,0.75,0.75,0.75,0.8333333,0,0,3,0.0,0.85714287,0,0,3,0.71428573,0.7037037,0.71428573,0.7037037,3,0,9,1,2,2,2,0,1,0,1,0,0,1
provera,pɹɑːvɚɹə,pɾoveɾa,frova,fɹoʊvə,fɾova,0,0.2857143,0.7916667,1,0,2,0.42857143,0.14285715,0.57142854,0.5,1,0,2,0.0,0.75,1,0,2,0.6581395,0.67674416,0.48372093,0.5837209,2,0,1,1,1,1,1,0,1,0,1,0,1,0
navane,næveɪn,navaneʔ,dalvance,dælvəns,dalvejnkeʔ,0,0.25,0.78571427,1,2,0,0.375,0.125,0.625,0.39999998,1,2,0,0.0,0.78571427,1,2,0,0.5933333,0.515625,0.46,0.434375,2,0,1,2,0,0,0,0,0,0,0,0,1,1
prograf,pɹoʊgɹæf,pɾogɾaf,prozac,pɹɑːzæk,pɾosak,1,0.42857143,0.7692308,2,0,1,0.42857143,0.0,0.57142854,0.39999998,2,0,1,0.42857143,0.7692308,2,0,1,0.618,0.6377778,0.446,0.6377778,1,3,0,1,0,0,0,0,0,1,0,0,1,1
flonase,flɑːneɪs,flonase,glynase,glaɪneɪs,gljnase,0,0.42857143,0.89285713,2,0,0,0.5714286,0.5714286,0.71428573,0.6,2,0,0,0.0,0.85714287,2,0,0,0.8125,0.65555555,0.7395833,0.65555555,0,0,4,1,1,0,1,1,1,0,1,0,2,1
lipitor,lɪpɪɾɚ,lipitoɾ,loniten,lɑːnaɪʔn,loniten,1,0.2857143,0.78571427,4,0,0,0.2857143,0.0,0.4285714,0.5,4,0,0,0.14285715,0.7037037,4,0,0,0.4511628,0.65581393,0.25348836,0.6418605,0,1,0,0,0,0,0,0,0,1,0,0,0,0
lampit,læmpɪt,lampit,limbitrol,lɪmbɪtɹɑːl,limbitɾol,0,0.22222222,0.73333335,2,3,0,0.22222222,0.0,0.44444442,0.5,2,3,0,0.11111111,0.6551724,2,3,0,0.64736843,0.64912283,0.64736843,0.5754386,3,1,0,2,1,1,1,0,0,1,0,0,0,0
zelboraf,zɛlboːɹæf,zelboɾaf,zilbrysq,zɪlbɹɪsk,zilbɾjsk,0,0.25,0.75,3,1,1,0.25,0.0,0.375,0.57142854,5,0,0,0.125,0.67741936,5,0,0,0.8076923,0.6574074,0.8076923,0.6388889,0,1,0,2,2,1,2,0,0,0,0,0,0,0
novolin,nɑːvəlɪn,novolin,ventolin,vɛntəlɪn,ventolin,0,0.375,0.76666665,3,1,0,0.5,0.5,0.5,0.6,3,1,0,0.0,0.71428573,3,1,0,0.654,0.654,0.662,0.662,1,0,4,1,0,0,0,0,1,0,1,0,0,1
quetiapine,kwɛʃɪæpaɪn,ketiʔapine,quelicin,kwɛlɪsɪn,kejsjn,0,0.4,0.78787875,2,0,2,0.3,0.0,0.6,0.5,2,0,2,0.3,0.7714286,2,0,2,0.74666667,0.25833333,0.675,0.25166667,2,3,0,0,1,0,2,0,0,1,1,0,0,1
baricitinib,bæɹɪsɪtɪnɪb,baɾjsitinib,tofacitinib,tɑːfɐsɪtɪnɪb,tofasjtinib,0,0.54545456,0.8636364,4,0,0,0.6363636,0.6363636,0.6363636,0.6666666,4,0,0,0.0,0.8181818,4,0,0,0.8955224,0.6826087,0.7522388,0.6826087,0,0,7,0,0,0,0,0,1,0,1,0,0,1
ketorolac,kɛɾoːɹɑːlæk,ketoɾolak,detrol la,dɪtɹɑːl læ,detɾolla,0,0.44444445,0.78787875,1,1,2,0.33333334,0.0,0.44444442,0.5,3,1,1,0.0,0.78787875,1,1,2,0.64363635,0.72727275,0.6290909,0.72,0,0,0,0,1,1,1,0,1,0,0,0,0,0
hydroxyurea,haɪdɹɑːksɪjuːɹiə,hjdɾoksjuɾea,hydroxyzine,haɪdɹɑːksɪziːn,hjdɾoksjzine,1,0.6363636,0.85,2,1,1,0.6363636,0.0,0.6363636,0.75,4,0,0,0.6363636,0.8181818,4,0,0,0.74404764,0.8333333,0.74404764,0.78205127,0,7,0,1,0,1,1,0,1,1,0,0,1,0
clarispray,klæɹɪspɹeɪ,klaɾispɾaj,claritin,klæɹɪtɪn,klaɾitin,1,0.5,0.7428571,3,0,2,0.5,0.0,0.5,0.4285714,3,0,2,0.5,0.7222222,3,0,2,0.68064517,0.6296875,0.68064517,0.5828125,2,5,0,2,0,0,0,1,1,1,0,0,0,1
floranex,floːɹeɪnɛks,floɾaneks,fluoroplex,flʊɹɹəplɛks,fluʔoɾopleks,0,0.4,0.8,2,2,0,0.2,0.2,0.6,0.6666666,2,2,0,0.2,0.7777778,2,2,0,0.7394366,0.57894737,0.6605634,0.52105266,2,2,2,1,0,1,1,0,0,1,1,0,0,1
chlordiazepoxide,kloːɹədɪeɪzpɑːksaɪd,ʧloɾdiʔazepokside,chlorpromazine,kloːɹəpɹɑːmɐziːn,ʧloɾpɾomasʔineʔ,1,0.375,0.7627119,7,0,2,0.3125,0.0625,0.4375,0.44444442,7,0,2,0.3125,0.7,7,0,2,0.55145633,0.54,0.4699029,0.49809524,2,5,1,0,1,2,2,0,0,1,0,0,0,0
chlorpromazine,kloːɹəpɹɑːmɐziːn,ʧloɾpɾomasʔineʔ,chlorofair,kloːɹoʊfɛɹ,ʧloɾofajɾ,0,0.42857143,0.7446809,2,0,4,0.35714287,0.0,0.57142854,0.5555556,2,0,4,0.35714287,0.75,2,0,4,0.517284,0.36210525,0.4432099,0.36210525,4,5,0,3,2,1,1,0,0,1,0,0,0,1
abiraterone acetate,æbɚɹæɾɚɹoʊn æsɪteɪt,ʔabiɾateɾoneʔaketate,lanreotide acetate,lænɹɪɑːɾaɪd æsɪteɪt,lanɾeotideʔaketate,0,0.42105263,0.7761194,8,0,1,0.47368422,0.47368422,0.5263158,0.5555556,8,0,1,0.0,0.7428571,8,0,1,0.7216981,0.6875,0.65660375,0.6425,1,0,9,0,2,2,1,0,1,0,1,0,0,1
depo medrol,dɪpoʊ mɛdɹɑːl,depomedɾol,neo medrol,niːoʊ mɛdɹɑːl,neomedɾol,0,0.6363636,0.8918919,1,0,1,0.72727275,0.72727275,0.8181818,0.71428573,1,0,1,0.0,0.8947368,1,0,1,0.80447763,0.7903226,0.7895522,0.7903226,1,0,8,1,1,1,0,0,0,0,1,0,0,1
amantadine,æmɐntædiːn,ʔamantadine,amiodarone,æmɪɑːdɐɹoʊn,ʔamiodaɾone,1,0.3,0.82051283,5,0,0,0.2,0.2,0.5,0.39999998,5,0,0,0.2,0.75,5,0,0,0.7396552,0.80447763,0.5448276,0.6731343,0,2,2,1,0,1,1,0,1,1,1,0,0,1
platinol,plætɪnɑːl,platinol,akrinol,ækɹɪnɑːl,ʔakɾinol,0,0.375,0.73333335,3,0,1,0.5,0.5,0.5,0.39999998,3,0,1,0.0,0.73333335,3,0,1,0.64,0.64,0.632,0.632,1,0,4,1,0,0,0,1,1,0,1,0,0,1
hydromorphone,haɪdɹəmoːɹfoʊn,hjdɾomoɾphone,morphine,mɔːɹfiːn,moɾphine,1,0.3846154,0.74358976,1,0,5,0.3846154,0.15384616,0.53846157,0.5555556,1,0,5,0.0,0.71428573,1,0,5,0.48607594,0.5927711,0.4607595,0.58072287,5,0,2,4,1,2,1,0,1,0,1,0,0,0
influenza virus vaccine,ɪnfluːɛnzə vaɪɹəs væksiːn,ʔinflujsaviɾusvakʔineʔ,tuberculin purified protein derivative,tuːbɚkjʊlɪn pjʊɹɹɪfaɪd pɹoʊtiːn dɪɹɪvətɪv,tubeɾsulinpuɾifiʔedpɾotejndeɾivative,1,0.05263158,0.5648148,12,15,1,0.05263158,0.02631579,0.21052629,0.22727275,13,16,1,0.0,0.5045045,12,15,1,0.37657657,0.36441442,0.35045046,0.33738738,15,0,1,7,6,5,7,0,0,0,0,0,0,1
pavulon,pævjʊlən,pavulon,peptavlon,pɛptævlən,peptavlon,1,0.44444445,0.78125,3,2,0,0.33333334,0.33333334,0.5555556,0.6666666,0,3,1,0.11111111,0.75,0,3,1,0.66842103,0.645614,0.66140354,0.6526316,2,1,3,2,0,0,0,0,0,1,1,0,0,1
abacavir sulfate and lamivudine,æbɐkævɪɹ sʌlfeɪt ænd læmɪvjuːdiːn,ʔabakavjɾsulfateʔandlamivudine,dolutegravir sodium and abacavir sulfate and lamivudine,dɑːluːtɛgɹɐvɪɹ soʊdiəm ænd æbɐkævɪɹ sʌlfeɪt ænd læmɪvjuːdiːn,dolutegɾavjɾsodjumʔandʔabakavjɾsulfateʔandlamivudine,0,0.54545456,0.7284768,0,21,0,0.56363636,0.56363636,0.56363636,0.5454545,0,24,0,0.0,0.72727275,0,21,0,0.5620915,0.5705522,0.5620915,0.5705522,24,0,31,12,8,9,9,0,0,0,1,0,0,1
darvocet,dɑːɹvɑːsɪt,daɾvoket,percocet,pɜːkɑːsɪt,peɾkoket,1,0.375,0.84375,3,0,0,0.5,0.5,0.625,0.6,3,0,0,0.0,0.8125,3,0,0,0.666,0.85,0.574,0.754,0,0,4,0,0,0,0,0,1,0,1,0,0,1
sufentanil,suːfəntænɪl,sufentanil,sutent,suːtənt,sutent,0,0.4,0.6875,1,0,4,0.3,0.0,0.5,0.5,1,0,4,0.2,0.7419355,1,0,4,0.57580644,0.57580644,0.58225805,0.58225805,4,2,0,2,2,2,2,0,0,1,0,0,1,0
lasix,læsɪks,lasiks,luvox,luːvɑːks,luvoks,1,0.2,0.8,3,0,0,0.2,0.2,0.39999998,0.6666666,3,0,0,0.2,0.7,3,0,0,0.92368424,0.91052634,0.76578945,0.7842105,0,1,1,0,0,0,0,0,0,1,1,0,2,1
aldoril 25,ɔːldoːɹəl twɛnti faɪv,ʔaldoɾil25,aldoril d30,ɔːldoːɹəl diː θɜːɾi,ʔaldoɾild30,0,0.72727275,0.93333334,0,1,0,0.72727275,0.0,0.72727275,0.625,2,1,0,0.72727275,0.9285714,0,1,0,0.6666667,0.877193,0.60380954,0.877193,1,8,0,1,0,0,0,0,1,1,0,0,1,0
prenexa,pɹɪnɛksə,pɾeneksaʔ,ranexa,ɹeɪŋksə,ɾaneksaʔ,1,0.42857143,0.88461536,1,0,1,0.5714286,0.5714286,0.71428573,0.75,1,0,1,0.0,0.84615386,1,0,1,0.718,0.877193,0.71,0.7859649,1,0,4,1,0,0,0,0,1,0,0,0,0,1
airduo digihaler,ɛɹdjuːoʊ dɪdʒɪheɪlɚ,ʔaʔiɾduʔodigihaleɾ,proair digihaler,pɹoʊɜː dɪdʒɪheɪlɚ,pɾoajɾdigihaleɾ,0,0.6875,0.8269231,4,1,1,0.625,0.625,0.625,0.7777778,6,0,0,0.0,0.8,6,0,0,0.84158415,0.59090906,0.8356436,0.5327273,0,0,10,1,1,2,1,0,1,0,1,0,0,1
lamisil,læmɪsəl,lamisil,amitril,æmɪtɹəl,ʔamitɾil,0,0.42857143,0.78571427,1,1,1,0.42857143,0.2857143,0.57142854,0.25,1,1,1,0.0,0.7692308,1,1,1,0.76744187,0.67,0.75813955,0.662,0,0,2,0,0,0,0,1,1,0,1,0,0,1
truqap,tɹuːkæp,tɾukap,trusopt,tɹuːsɑːpt,tɾusopt,0,0.42857143,0.8076923,2,1,0,0.42857143,0.0,0.57142854,0.6,2,1,0,0.42857143,0.7692308,2,1,0,0.77555555,0.76666665,0.67333335,0.66888887,1,3,0,1,0,0,0,0,1,1,0,0,1,1
apresoline,æpɹeɪɑːliːn,ʔapɾesoline,pyrolite,paɪɹoʊlaɪt,pjɾolite,0,0.2,0.75,3,0,2,0.3,0.1,0.5,0.39999998,3,0,2,0.0,0.7058823,3,0,2,0.6534483,0.5716418,0.47241378,0.5716418,2,0,1,0,2,1,2,0,1,0,0,0,0,1
folinic acid,fəlɪnɪk æsɪd,folinikʔasid,zoledronic acid,zoʊldɹɑːnɪk æsɪd,zoledɾonjsʔasid,0,0.53333336,0.82,2,3,0,0.53333336,0.53333336,0.6666666,0.6666666,2,3,0,0.0,0.79591835,2,3,0,0.71744186,0.6094737,0.5895349,0.58842105,3,0,8,2,1,0,1,0,0,0,1,0,2,1
vigabatrin,vɪgɐbætɹɪn,vigabatɾin,gabitril,gæbɪtɹəl,gabitɾil,0,0.4,0.8055556,2,0,2,0.3,0.0,0.6,0.6666666,2,0,2,0.0,0.7714286,2,0,2,0.6870968,0.6935484,0.5580645,0.62580645,2,0,0,1,1,1,1,0,0,0,0,0,0,1
colace,kɑːleɪs,kolakeʔ,cozaar,kəzɑːɹ,kosaʔaɾ,1,0.33333334,0.73913044,3,0,0,0.33333334,0.0,0.5,0.3333333,3,0,0,0.33333334,0.75,3,0,0,0.66944444,0.61627907,0.375,0.5,0,2,0,0,1,0,0,0,0,1,0,0,1,0
zyrtec,zɪətɛk,zjɾtek,zyrtec itchy eye drops,zɪətɛk ɪtʃi aɪ dɹɑːps,zjɾtekiʧjʔejedɾops,1,0.27272728,0.5217391,0,13,0,0.27272728,0.0,0.27272725,0.29411763,0,16,0,0.27272728,0.48000002,0,13,0,0.34951457,0.3448276,0.34951457,0.3448276,16,6,0,9,4,4,4,0,1,1,0,0,0,1
lamictal,læmɪktəl,lamiktal,amitril,æmɪtɹəl,ʔamitɾil,0,0.25,0.76666665,3,0,1,0.375,0.125,0.5,0.39999998,3,0,1,0.0,0.7241379,3,0,1,0.72,0.73,0.704,0.63,1,0,1,1,0,0,0,1,1,0,1,0,0,1
