x_1,t_eng_1,t_fil_1,x_2,t_eng_2,t_fil_2,label,bisim,editex,editex_separate_substitutions,editex_separate_insertions,editex_separate_deletions,lcsubstring,lcsuf,levenshtein,levenshtein_consonant,levenshtein_separate_substitutions,levenshtein_separate_insertions,levenshtein_separate_deletions,prefix,visual_weighted,visual_weighted_separate_substitutions,visual_weighted_separate_insertions,visual_weighted_separate_deletions,aline_eng_kondrak_eng,aline_eng_kondrak_fil,aline_ph_mc_eng,aline_ph_mc_fil,len_diff,common_prefix_len,common_suffix_len,consonant_count_diff,syllable_diff,syllable_count_diff,vowel_count_diff,fil_vowel_skeleton_match,fil_penult_vowel_match,fil_onset_match,fil_coda_match,fil_phonetic_equal,n_marked,english_prominence_match
avandia,ævændiə,ʔavandia,coumadin,kaʊmɐdɪn,koumadin,1,0.125,0.64285713,3,2,1,0.25,0.0,0.25,0.25,5,1,0,0.0,0.6333333,5,1,0,0.53125,0.56666666,0.40208334,0.37291667,1,0,0,1,0,1,0,0,0,0,0,0,0,1
sitagliptin,sɪɾɐglɪptɪn,sitagliptin,sumatriptan,suːmɐtɹɪptən,sumatɾiptan,1,0.27272728,0.8409091,5,0,0,0.27272728,0.09090909,0.5454545,0.57142854,5,0,0,0.09090909,0.76744187,5,0,0,0.78985506,0.81884056,0.726087,0.757971,0,1,1,0,0,0,0,0,1,1,1,0,0,1
capozide 25 15,kæpəzaɪd twɛnti faɪv fɪftiːn,kapozide2515,capozide 50 25,kæpəzaɪd fɪfti twɛnti faɪv,kapozide5025,0,0.78571427,1.0,0,0,0,0.64285713,0.071428575,0.78571427,0.7,3,0,0,0.64285713,1.0,0,0,0,0.7067568,1.0,0.70405406,1.0,0,9,1,0,0,0,0,1,1,1,1,1,0,1
sarafem,sæɹəfəm,saɾafem,solaraze,soʊlæɹəz,solaɾaseʔ,0,0.375,0.73333335,1,2,1,0.375,0.0,0.5,0.25,1,2,1,0.125,0.73333335,1,2,1,0.62916666,0.5672727,0.56666666,0.5672727,1,1,0,0,1,0,1,0,1,1,0,0,0,1
ditropan,dɪtɹəpæn,ditɾopan,drolban,dɹɑːlbən,dɾolban,0,0.375,0.76666665,1,1,2,0.25,0.25,0.5,0.39999998,1,1,2,0.125,0.73333335,1,1,2,0.672,0.68,0.572,0.68,1,1,2,0,1,1,1,0,1,1,1,0,0,0
cardura,kɑːɹdʒuːɹə,kaɾduɾa,coumadin,kaʊmɐdɪn,koumadin,1,0.125,0.62068963,4,2,1,0.125,0.0,0.125,0.5,6,1,0,0.125,0.5333333,6,1,0,0.466,0.51875,0.312,0.31875,1,1,0,0,0,0,1,0,0,1,0,0,0,1
metyrapone,mɛɾɪɹæpoʊn,metjɾapone,metyrosine,mɛɾɪɹɑːsaɪn,metjɾosine,1,0.6,0.9,3,0,0,0.5,0.2,0.7,0.8333333,3,0,0,0.5,0.85,3,0,0,0.92333335,0.93064517,0.76,0.83709675,0,5,2,0,0,0,0,0,0,1,1,0,0,1
daunorubicin liposomal,dɔːnoːɹuːbɪsɪn lɪpəsɑːməl,daʔunoɾubjsjnliposomal,doxil liposomal,dɑːksɪl lɪpəsɑːməl,doksilliposomal,0,0.45454547,0.75,2,0,7,0.45454547,0.45454547,0.5909091,0.5833334,2,0,7,0.045454547,0.74242425,2,0,7,0.6229508,0.51521736,0.5852459,0.5050725,7,1,10,3,3,3,4,0,1,1,1,0,0,1
labetalol,læbɪtælɑːl,labetalol,lamictal,læmɪktəl,lamiktal,1,0.44444445,0.7352941,2,1,2,0.33333334,0.11111111,0.44444442,0.39999998,2,1,2,0.22222222,0.7058823,2,1,2,0.7054545,0.7090909,0.64363635,0.68363637,1,2,1,0,1,1,1,0,0,1,1,0,0,1
everolimus,ɛvɚɹɑːlɪməs,ʔeveɾolimus,temsirolimus,tɛmzɪɹɑːlɪməs,temseɾolimus,0,0.5,0.8409091,2,2,0,0.5833333,0.5833333,0.6666666,0.57142854,2,2,0,0.0,0.8095238,2,2,0,0.7445946,0.772973,0.7445946,0.7675676,2,0,7,2,0,0,0,1,1,0,1,0,0,1
clindamycin phosphate and tretinoin,klɪndɐmaɪsɪn fɑːsfeɪt ænd tɹɛtɪnɔɪn,klindamjsjnphosphateʔandtɾetinojn,clindamycin phosphate in 09 sodium chloride,klɪndɐmaɪsɪn fɑːsfeɪt ɪn ziəɹoʊ naɪn soʊdiəm kloːɹaɪd,klindamjsjnphosphateʔin09sodjumʧloɾide,0,0.53488374,0.8267716,8,4,0,0.5116279,0.0,0.60465115,0.6333333,9,8,0,0.5116279,0.82089555,8,4,0,0.6413284,0.77347827,0.6107011,0.75173914,8,22,0,2,2,2,2,0,0,1,0,0,1,0
hydroxyprogesterone,haɪdɹɑːksɪpɹoʊdʒstɚɹoʊn,hjdɾoksjpɾogesteɾone,medroxyprogesterone,mɛdɹəksɪpɹoʊdʒstɚɹoʊn,medɾoksjpɾogesteɾone,1,0.84210527,0.96,2,0,0,0.8947368,0.8947368,0.8947368,0.84615386,2,0,0,0.0,0.96052635,2,0,0,0.9242647,0.890625,0.89485294,0.890625,0,0,17,1,1,1,1,0,1,0,1,0,0,1
tylenol,taɪlənɑːl,tjlenol,tylenol pm,taɪlənɑːl piːɛm,tjlenolpm,1,0.7,0.875,0,2,0,0.7,0.0,0.7,0.625,0,3,0,0.7,0.875,0,2,0,0.6666667,0.7627119,0.6666667,0.7627119,3,7,0,2,0,0,0,1,1,1,0,0,0,1
xeloda,zɛloʊdə,kseloda,xenical,zɛnɪkəl,ksjikal,1,0.2857143,0.7307692,3,1,0,0.2857143,0.0,0.4285714,0.25,3,1,0,0.2857143,0.6923077,3,1,0,0.5488372,0.64444447,0.53023255,0.61333334,1,2,0,1,0,0,0,0,1,1,0,0,1,0
atorvastatin,æɾoːɹvæstɐtɪn,ʔatoɾvastatin,lovastatin,lʌvɐstætɪn,lovastatin,0,0.5833333,0.8636364,1,0,2,0.6666667,0.6666667,0.75,0.71428573,1,0,2,0.0,0.8636364,1,0,2,0.77567565,0.6691358,0.64054054,0.6691358,2,0,8,1,1,1,1,0,1,0,1,0,0,1
metolazone,mɛɾəlæzoʊn,metolasone,mytelase,maɪɾɪleɪz,mjtelase,0,0.2,0.8055556,3,0,2,0.2,0.1,0.5,0.39999998,3,0,2,0.1,0.7222222,3,0,2,0.7783333,0.62333333,0.6616667,0.62333333,2,1,1,0,2,1,2,0,0,1,0,0,0,1
b o,biː oʊ,bʔo,beano,biːnoʊ,beano,1,0.2,0.6153846,0,3,0,0.2,0.2,0.39999998,0.5,1,2,0,0.2,0.57142854,0,3,0,0.6896552,0.3586207,0.6896552,0.31724137,2,1,1,1,1,1,2,0,0,1,0,0,1,0
lanoxin,lænəksɪn,lanoksin,lanophyllin,lænəfɪlɪn,lanophjllin,0,0.45454547,0.7647059,1,4,0,0.36363637,0.18181819,0.5454545,0.375,1,4,0,0.36363637,0.7352941,1,4,0,0.69454545,0.5084507,0.69454545,0.5084507,4,4,2,4,0,1,0,1,1,1,1,0,1,0
stalevo 50,stæliːvoʊ fɪfti,stalevoʔ50,stalevo 75,stæliːvoʊ sɛvənti faɪv,stalevoʔ75,0,0.8,1.0,0,0,0,0.8,0.0,0.8,0.71428573,2,0,0,0.8,1.0,0,0,0,0.6356522,1.0,0.6356522,1.0,0,8,0,0,0,0,0,1,1,1,1,1,2,1
diflucan,dɪfluːkən,diflukan,diflunisal,dɪfljuːnɪsəl,diflunisal,0,0.5,0.8055556,2,2,0,0.5,0.0,0.6,0.5,2,2,0,0.5,0.7777778,2,2,0,0.5304348,0.58870965,0.5014493,0.57258064,2,5,0,1,1,1,1,0,0,1,0,0,0,1
cefoxitin,sɛfəksɪtɪn,kefoksitin,ceftriaxone,sɛftɹɪæksoʊn,keftɾiʔaksone,1,0.27272728,0.74358976,4,2,0,0.27272728,0.0,0.45454544,0.5,4,2,0,0.27272728,0.6923077,4,2,0,0.6891892,0.5395062,0.6662162,0.5123457,2,3,0,1,0,0,1,0,0,1,1,0,0,1
toujeo,taʊdʒɪoʊ,toʔuʤeo,tresiba,tɹɛzɪbə,tɾesiba,1,0.14285715,0.625,5,1,0,0.14285715,0.0,0.14285713,0.25,5,1,0,0.14285715,0.5769231,5,1,0,0.5804348,0.53720933,0.4304348,0.38372093,1,1,0,2,1,1,1,0,0,1,0,0,0,1
novolog flexpen,nɑːvəlɑːg flɛkspən,novologflkspen,novolog mix 70 30 flexpen,nɑːvəlɑːg mɪks sɛvənti θɜːɾi flɛkspən,novologmiks7030flkspen,1,0.6,0.9032258,0,3,0,0.32,0.32,0.6,0.5263158,0,10,0,0.32,0.9032258,0,3,0,0.4218085,0.73448277,0.40478724,0.73448277,10,8,8,2,1,1,1,0,1,1,1,0,0,1
amiloride,æmɪloːɹaɪd,ʔamiloɾide,amlodipine,æmlədɪpaɪn,ʔamlodipine,1,0.3,0.7368421,5,1,0,0.2,0.1,0.5,0.39999998,2,2,1,0.2,0.7297298,2,2,1,0.62,0.70597017,0.5183333,0.69104475,1,2,1,1,0,0,0,0,0,1,0,0,0,1
humira pen,hjuːmiəɹə pɛn,humiɾapen,humulin r pen,hjuːmjʊlɪn ɑːɹ pɛn,humulinɾpen,0,0.46153846,0.81578946,3,2,0,0.30769232,0.30769232,0.6153846,0.6666666,2,3,0,0.23076923,0.7948718,2,2,0,0.59659094,0.6913043,0.5534091,0.6304348,3,3,4,2,0,0,0,0,1,1,1,0,0,1
femara,fɛmɑːɹɹə,femaɾa,femhrt,fɛmhət,femhɾt,1,0.5,0.875,2,0,0,0.5,0.0,0.6666666,0.6,2,0,0,0.5,0.82608694,2,0,0,0.5534884,0.55,0.4976744,0.55,0,3,0,2,2,2,2,0,1,1,0,0,1,1
fortical,fɔːɹɾɪkəl,foɾtikal,myfortic,maɪfɔːɹɾɪk,mjfoɾtik,0,0.625,0.75,0,2,2,0.75,0.0,0.5,0.5,0,2,2,0.0,0.75,0,2,2,0.6909091,0.7307692,0.6909091,0.7307692,0,0,0,1,1,0,1,0,0,0,0,0,0,0
